Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
42.0,1090.36987,876.42133,2034.67285,969.77423,1324.65686,1545.43164,762.85535,914.32483,547.66376,227.61697,147.2688,106.47298,3041.46411,1096.5979,352.70178,213.33972,198.96274,378.99298
41.67,1090.36987,876.42133,2034.67285,969.77423,1325.38757,1545.43164,762.85535,914.80103,548.08057,227.99951,147.2688,107.42363,3039.23657,1096.5979,352.70178,213.33972,198.06245,378.99298
41.67,1090.36987,876.42133,2034.67285,969.77423,1325.38757,1544.73486,763.36255,915.27722,548.08057,227.61697,147.2688,106.47298,3037.00928,1096.5979,352.70178,213.33972,198.06245,378.99298
42.0,1090.36987,876.42133,2033.7207,969.77423,1325.38757,1544.73486,762.85535,914.80103,548.08057,227.61697,147.2688,106.47298,3035.89551,1095.57104,351.85394,213.33972,198.06245,378.99298
42.0,1090.36987,876.42133,2033.7207,969.77423,1325.38757,1544.73486,762.85535,913.37238,547.66376,227.61697,147.2688,106.47298,3038.12305,1095.57104,351.85394,212.50961,198.06245,378.99298
42.0,1090.36987,876.42133,2034.67285,969.77423,1325.38757,1544.73486,762.85535,913.37238,547.24695,227.61697,147.2688,107.42363,3037.00928,1095.57104,351.85394,212.50961,198.06245,378.99298
42.0,1090.36987,876.42133,2033.7207,969.77423,1324.65686,1544.03809,762.85535,914.32483,547.66376,227.61697,147.2688,106.47298,3034.78198,1095.57104,351.85394,212.50961,198.06245,378.99298
41.67,1090.36987,875.48297,2033.7207,969.77423,1324.65686,1544.73486,763.36255,915.27722,548.08057,227.99951,147.2688,106.47298,3039.23657,1096.5979,351.85394,213.33972,198.06245,378.99298
42.33,1090.36987,876.42133,2034.67285,969.77423,1325.38757,1546.12842,763.86975,914.80103,548.49731,227.99951,147.2688,107.42363,3042.57764,1096.5979,352.70178,213.33972,198.96274,378.99298
42.0,1091.19153,876.42133,2034.67285,970.69171,1326.11816,1546.12842,764.88422,915.27722,548.49731,227.99951,147.2688,107.42363,3042.57764,1096.5979,352.70178,213.33972,198.06245,378.99298
