Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.0,1311.40186,1095.0575,2495.49707,1158.77466,1681.94165,1964.18933,990.59607,1165.28796,679.36981,252.48268,164.66765,117.8808,3745.31055,1273.20349,374.74567,230.77216,234.97409,435.66483
35.33,1311.40186,1095.99585,2496.44922,1158.77466,1681.94165,1964.88611,990.59607,1165.28796,679.36981,252.48268,165.28903,117.8808,3741.96973,1239.31982,374.74567,230.77216,234.97409,435.66483
34.67,1310.5802,1095.0575,2497.40137,1158.77466,1681.21094,1964.88611,990.59607,1165.28796,679.36981,252.10014,165.28903,117.8808,3745.31055,1240.34668,375.59351,230.77216,234.97409,435.66483
34.67,1311.40186,1095.0575,2496.44922,1158.77466,1681.94165,1962.79578,990.59607,1165.28796,679.36981,252.48268,164.66765,117.8808,3745.31055,1239.31982,374.74567,230.77216,234.97409,435.66483
35.0,1310.5802,1095.99585,2497.40137,1159.69214,1680.48035,1964.18933,990.08887,1164.81165,678.953,252.10014,164.66765,117.8808,3739.74219,1239.31982,374.74567,230.77216,234.97409,434.48416
35.0,1310.5802,1095.99585,2496.44922,1158.77466,1681.94165,1964.88611,991.10327,1165.76416,679.78662,252.10014,165.28903,117.8808,3746.42432,1271.1499,374.74567,230.77216,234.97409,435.66483
34.67,1311.40186,1095.0575,2496.44922,1158.77466,1681.21094,1964.88611,990.08887,1164.81165,679.36981,252.10014,165.28903,117.8808,3740.85596,1271.1499,374.74567,230.77216,234.97409,435.66483
34.67,1311.40186,1095.99585,2496.44922,1158.77466,1681.94165,1964.88611,991.10327,1165.28796,679.36981,252.10014,164.66765,117.8808,3746.42432,1271.1499,375.59351,230.77216,234.97409,434.48416
35.0,1309.75854,1095.0575,2496.44922,1158.77466,1681.21094,1964.88611,990.59607,1165.28796,679.36981,252.48268,164.66765,117.8808,3744.19702,1271.1499,374.74567,230.77216,234.07381,435.66483
35.0,1310.5802,1095.99585,2496.44922,1158.77466,1681.94165,1964.88611,990.59607,1165.28796,679.36981,252.48268,165.28903,117.8808,3745.31055,1240.34668,374.74567,230.77216,234.97409,434.48416
