Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.33,1368.91943,1146.66687,2616.41602,1192.72131,1719.93506,2013.65979,1003.27649,1180.52661,685.2049,250.56993,164.66765,118.83145,3773.15259,1264.98926,373.89783,230.77216,234.97409,432.12283
35.0,1368.91943,1147.60522,2616.41602,1192.72131,1719.93506,2017.14368,1002.76929,1181.00281,685.2049,250.56993,164.66765,118.83145,3774.26636,1233.15918,373.89783,230.77216,234.97409,433.3035
35.0,1368.91943,1147.60522,2615.46387,1191.80383,1721.39636,2017.84045,1003.78369,1181.95532,685.62164,250.56993,164.66765,118.83145,3776.49365,1266.01611,373.89783,230.77216,234.97409,432.12283
34.67,1368.91943,1147.60522,2614.51172,1191.80383,1722.12708,2017.84045,1003.78369,1181.95532,685.62164,250.56993,164.66765,118.83145,3775.38013,1232.13245,373.89783,230.77216,234.97409,433.3035
35.0,1368.91943,1147.60522,2614.51172,1190.88635,1722.12708,2018.53723,1003.78369,1181.95532,686.03845,250.56993,164.66765,118.83145,3774.26636,1263.96252,373.89783,230.77216,234.97409,432.12283
34.67,1368.91943,1148.54358,2615.46387,1191.80383,1722.85767,2019.23401,1004.79816,1182.43152,686.03845,250.56993,164.66765,118.83145,3778.72119,1263.96252,373.89783,230.77216,234.97409,433.3035
34.67,1367.27612,1148.54358,2614.51172,1190.88635,1723.58838,2019.93079,1004.79816,1182.43152,686.03845,250.56993,164.66765,118.83145,3779.83472,1234.18604,373.89783,230.77216,234.97409,433.3035
35.0,1368.91943,1147.60522,2614.51172,1190.88635,1723.58838,2019.23401,1004.79816,1182.43152,686.03845,250.56993,164.66765,118.83145,3775.38013,1234.18604,373.89783,230.77216,234.97409,433.3035
35.33,1368.91943,1148.54358,2614.51172,1190.88635,1722.85767,2019.23401,1004.29095,1182.43152,686.03845,250.56993,164.66765,118.83145,3779.83472,1233.15918,373.89783,230.77216,234.97409,433.3035
35.0,1368.91943,1148.54358,2615.46387,1192.72131,1723.58838,2019.23401,1004.29095,1182.43152,686.03845,250.95248,164.66765,118.83145,3779.83472,1234.18604,373.89783,230.77216,234.97409,432.12283
34.67,1369.74121,1148.54358,2615.46387,1191.80383,1723.58838,2020.62756,1005.81256,1183.86011,686.45526,250.95248,164.66765,118.83145,3783.17578,1269.09644,373.89783,230.77216,234.97409,433.3035
34.67,1368.91943,1149.48193,2616.41602,1192.72131,1724.31897,2021.32422,1005.81256,1183.86011,686.45526,250.95248,164.66765,118.83145,3784.28955,1264.98926,373.89783,231.60228,234.97409,433.3035
35.0,1371.38452,1149.48193,2617.36816,1193.63879,1726.51086,2023.41455,1007.33423,1185.76501,687.28882,251.33504,164.66765,118.83145,3790.97168,1264.98926,374.74567,231.60228,235.87437,433.3035
35.33,1372.20618,1150.42029,2618.32007,1195.47375,1727.24158,2025.50488,1008.8559,1186.71741,687.70563,251.33504,165.28903,118.83145,3795.42627,1234.18604,374.74567,231.60228,235.87437,433.3035
34.33,1372.20618,1150.42029,2619.27222,1195.47375,1728.70288,2026.20166,1008.8559,1187.1936,688.12244,251.71759,165.28903,118.83145,3797.65381,1236.2395,374.74567,231.60228,235.87437,434.48416
34.67,1372.20618,1150.42029,2620.22437,1195.47375,1728.70288,2026.20166,1009.3631,1187.1936,688.12244,251.33504,165.28903,118.83145,3796.54004,1236.2395,374.74567,231.60228,235.87437,434.48416
35.0,1372.20618,1151.35864,2619.27222,1195.47375,1728.70288,2026.89844,1008.8559,1187.1936,688.12244,251.71759,165.28903,118.83145,3794.31274,1267.04285,375.59351,231.60228,235.87437,434.48416
35.0,1371.38452,1150.42029,2620.22437,1195.47375,1729.43347,2026.20166,1008.8559,1186.71741,688.12244,251.71759,165.28903,118.83145,3796.54004,1268.06958,374.74567,231.60228,235.87437,434.48416
35.33,1370.56287,1150.42029,2619.27222,1194.55627,1728.70288,2025.50488,1008.8559,1186.71741,688.12244,251.71759,165.28903,118.83145,3794.31274,1236.2395,374.74567,231.60228,235.87437,434.48416
34.67,1371.38452,1150.42029,2618.32007,1194.55627,1729.43347,2026.20166,1008.8559,1187.1936,688.12244,251.33504,165.28903,118.83145,3797.65381,1237.26636,374.74567,231.60228,235.87437,434.48416
