Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
31.0,646.66248,527.35413,1177.76807,573.42371,906.72876,1056.30042,511.78259,654.78992,432.21255,159.9057,104.39307,77.95343,2349.86792,773.16309,247.56953,150.25093,151.2477,275.09457
31.33,646.66248,527.35413,1177.76807,573.42371,905.26746,1056.30042,511.78259,655.26611,432.21255,160.28825,103.77169,77.95343,2347.64038,792.67187,248.41737,150.25093,150.34741,275.09457
31.0,646.66248,527.35413,1177.76807,573.42371,906.72876,1056.99719,511.78259,655.26611,432.62936,160.28825,104.39307,77.95343,2347.64038,794.7254,247.56953,150.25093,151.2477,275.09457
30.67,646.66248,527.35413,1177.76807,573.42371,905.99811,1056.99719,511.78259,655.26611,432.62936,160.28825,104.39307,77.95343,2349.86792,793.69867,248.41737,150.25093,151.2477,275.09457
31.67,646.66248,527.35413,1177.76807,574.34119,905.99811,1056.99719,511.78259,655.74231,432.62936,160.28825,104.39307,77.95343,2350.98145,793.69867,247.56953,150.25093,151.2477,275.09457
31.0,646.66248,527.35413,1178.72009,573.42371,905.99811,1056.99719,512.28979,655.26611,432.62936,160.28825,103.77169,77.95343,2348.75415,794.7254,247.56953,150.25093,151.2477,275.09457
31.33,646.66248,527.35413,1177.76807,573.42371,905.99811,1056.99719,511.78259,655.26611,432.62936,160.28825,104.39307,77.95343,2349.86792,774.18988,248.41737,150.25093,151.2477,275.09457
30.67,646.66248,527.35413,1177.76807,573.42371,905.99811,1056.30042,511.27539,655.26611,432.21255,159.9057,103.77169,77.95343,2346.52686,792.67187,247.56953,150.25093,151.2477,275.09457
31.33,646.66248,527.35413,1177.76807,573.42371,905.99811,1056.99719,511.78259,655.26611,432.62936,160.28825,104.39307,77.95343,2349.86792,774.18988,248.41737,150.25093,151.2477,275.09457
31.0,646.66248,527.35413,1177.76807,573.42371,905.99811,1056.30042,511.27539,654.78992,432.62936,159.9057,104.39307,77.95343,2348.75415,774.18988,248.41737,150.25093,151.2477,275.09457
