Temp,I,J,K,L,R,S
39.33,32.09293,20.27513,283.97403,127.38731,1517.94775,710.52972
40.0,32.09293,20.27513,283.35263,127.38731,1515.72046,709.50293
40.0,32.09293,20.27513,282.73126,127.38731,1512.37939,708.47614
39.33,32.09293,20.27513,284.5954,128.33797,1519.06152,708.47614
39.33,32.09293,20.27513,283.97403,128.33797,1516.83411,709.50293
39.33,32.09293,20.27513,284.5954,128.33797,1510.15198,708.47614
39.33,32.09293,20.27513,284.5954,128.33797,1512.37939,707.4494
39.33,32.09293,20.27513,285.8382,128.33797,1509.03833,708.47614
39.33,32.09293,20.27513,285.2168,128.33797,1502.3562,707.4494
39.67,32.09293,20.27513,285.2168,128.33797,1496.78784,706.42261
39.67,32.09293,20.27513,285.2168,128.33797,1492.33313,705.39581
39.33,32.09293,20.27513,285.2168,128.33797,1491.21948,704.36902
39.33,32.09293,20.27513,285.2168,128.33797,1488.99207,704.36902
39.33,31.67614,20.27513,284.5954,127.38731,1484.53735,703.34229
39.33,31.67614,20.27513,284.5954,128.33797,1483.42371,702.31549
39.67,31.67614,20.27513,283.97403,127.38731,1478.96899,701.2887
39.33,31.67614,20.27513,283.97403,127.38731,1474.51416,700.26196
39.33,31.67614,19.89258,283.97403,127.38731,1471.17322,700.26196
39.67,31.67614,19.89258,283.97403,127.38731,1466.71851,699.23517
39.33,31.67614,19.89258,284.5954,128.33797,1463.37744,698.20837
39.33,31.67614,19.89258,284.5954,128.33797,1460.03638,697.18158
39.67,31.67614,19.89258,284.5954,128.33797,1455.58167,696.15485
39.67,31.25935,19.89258,284.5954,128.33797,1453.35425,696.15485
39.33,31.25935,19.89258,285.2168,128.33797,1454.4679,695.12805
39.33,31.25935,19.89258,285.2168,128.33797,1452.2406,695.12805
39.67,31.25935,19.89258,285.2168,128.33797,1446.67224,695.12805
39.33,31.25935,19.89258,284.5954,128.33797,1444.44482,694.10126
39.67,31.25935,19.89258,284.5954,128.33797,1442.21741,693.07452
39.67,31.25935,19.89258,284.5954,128.33797,1438.87646,692.04773
39.33,31.25935,19.89258,284.5954,128.33797,1435.5354,692.04773
39.33,31.25935,19.89258,283.97403,127.38731,1429.96692,689.99414
39.33,30.84256,19.89258,282.73126,127.38731,1427.73962,686.91382
39.67,30.84256,19.89258,282.73126,127.38731,1425.51221,686.91382
39.67,30.84256,19.89258,282.73126,127.38731,1423.28491,685.88708
39.33,30.84256,19.51003,281.48846,126.43666,1418.8302,684.86029
39.33,30.84256,19.51003,280.8671,126.43666,1413.26172,683.8335
39.67,30.42576,19.51003,281.48846,127.38731,1411.03442,682.8067
39.67,30.42576,19.51003,281.48846,126.43666,1405.46594,681.77997
39.67,30.42576,19.51003,280.8671,126.43666,1403.23865,680.75317
39.67,30.42576,19.51003,280.2457,126.43666,1399.89758,678.69965
39.67,30.42576,19.51003,279.6243,126.43666,1393.21545,677.67285
39.33,30.42576,19.51003,279.6243,126.43666,1390.98816,676.64606
39.33,30.00897,19.51003,279.00293,125.48601,1388.76074,675.61926
39.33,30.00897,19.12748,278.38153,125.48601,1384.30603,674.59253
39.33,30.00897,19.12748,277.76016,125.48601,1379.85132,672.53894
39.67,30.00897,19.12748,276.51736,125.48601,1376.51025,671.51221
39.67,30.00897,19.12748,275.896,124.53535,1373.16919,670.48541
39.33,29.59218,19.12748,275.896,124.53535,1368.71448,669.45862
39.67,29.59218,19.12748,275.2746,124.53535,1364.25977,668.43182
