Temp,I,J,K,L,R,S
40.0,73.77206,32.13416,276.51736,126.43666,3120.5354,1082.22302
40.33,73.77206,32.13416,276.51736,126.43666,3118.30811,1081.19617
40.0,73.35527,32.13416,275.896,126.43666,3118.30811,1079.1427
40.0,73.77206,32.13416,275.896,126.43666,3124.98999,1080.16943
40.0,73.35527,32.13416,276.51736,126.43666,3117.19434,1081.19617
40.0,73.35527,31.75161,275.896,126.43666,3107.17114,1076.06238
40.0,73.35527,31.75161,276.51736,126.43666,3109.39868,1076.06238
40.0,72.93848,31.75161,276.51736,126.43666,3101.60278,1076.06238
40.0,72.93848,32.13416,275.896,125.48601,3103.83008,1077.08911
40.0,73.77206,32.13416,275.896,126.43666,3108.28491,1076.06238
40.0,73.77206,32.13416,275.896,126.43666,3100.48901,1077.08911
40.0,73.35527,32.13416,275.896,125.48601,3110.51221,1077.08911
40.33,73.35527,32.13416,274.65323,125.48601,3121.64917,1077.08911
40.0,73.35527,32.13416,275.2746,125.48601,3131.67212,1083.24976
40.33,73.77206,32.51671,275.2746,125.48601,3138.35425,1084.27649
40.0,74.60564,32.51671,275.2746,125.48601,3142.80908,1084.27649
40.0,75.02243,32.51671,275.2746,125.48601,3143.92261,1087.35693
40.33,74.60564,32.51671,275.2746,125.48601,3136.12695,1087.35693
40.33,75.02243,32.89926,275.2746,125.48601,3156.1731,1086.33008
40.33,75.02243,32.89926,275.2746,125.48601,3155.05957,1091.46399
40.0,75.02243,32.89926,275.2746,125.48601,3160.62793,1091.46399
40.0,75.02243,32.89926,275.2746,125.48601,3167.31006,1092.49072
40.33,75.43922,32.89926,275.2746,125.48601,3167.31006,1092.49072
40.0,75.85602,33.28181,274.65323,125.48601,3172.87842,1093.51758
40.33,76.2728,33.28181,275.2746,125.48601,3176.21948,1095.57104
40.0,76.6896,33.28181,274.65323,125.48601,3180.67407,1095.57104
40.0,77.10639,33.66436,274.65323,126.43666,3185.12891,1096.5979
40.0,77.10639,33.66436,274.65323,126.43666,3189.58374,1096.5979
40.0,77.52318,33.66436,275.2746,126.43666,3195.1521,1096.5979
40.33,78.35677,33.66436,275.2746,126.43666,3200.72046,1097.62463
40.0,77.93997,34.04691,275.896,126.43666,3212.97095,1099.67822
40.33,78.35677,34.04691,275.2746,126.43666,3224.10767,1100.70496
40.0,79.19035,34.42946,275.896,126.43666,3235.24463,1101.73181
40.0,79.19035,34.04691,276.51736,126.43666,3233.01709,1104.81213
40.33,78.35677,34.04691,275.896,126.43666,3248.60864,1103.78528
40.67,79.19035,34.04691,275.896,126.43666,3263.08667,1106.8656
40.33,78.35677,34.04691,276.51736,126.43666,3255.29077,1106.8656
40.0,77.93997,33.66436,277.13876,126.43666,3254.17725,1106.8656
40.0,78.35677,33.66436,276.51736,126.43666,3256.40454,1106.8656
40.0,77.93997,33.28181,276.51736,126.43666,3248.60864,1106.8656
40.0,77.10639,33.28181,276.51736,125.48601,3255.29077,1106.8656
40.0,77.52318,33.28181,276.51736,126.43666,3249.72241,1105.83887
40.0,76.6896,33.28181,275.896,126.43666,3235.24463,1105.83887
40.33,76.6896,33.28181,275.896,125.48601,3237.47192,1104.81213
40.0,76.6896,32.89926,275.896,125.48601,3224.10767,1103.78528
40.0,75.85602,32.89926,275.2746,125.48601,3222.99414,1102.75854
40.33,76.2728,32.89926,274.65323,125.48601,3225.22144,1104.81213
40.33,76.2728,32.89926,275.2746,125.48601,3221.88037,1104.81213
40.0,75.85602,32.89926,274.65323,125.48601,3224.10767,1104.81213
40.33,76.2728,33.28181,274.03183,124.53535,3226.33521,1104.81213
40.33,76.2728,32.89926,274.03183,125.48601,3217.42578,1105.83887
40.33,76.2728,33.28181,274.03183,125.48601,3217.42578,1105.83887
40.0,77.10639,33.28181,274.65323,125.48601,3207.40259,1103.78528
40.0,76.2728,33.28181,274.65323,125.48601,3209.62988,1103.78528
40.0,76.6896,33.28181,274.65323,125.48601,3225.22144,1106.8656
40.33,77.10639,33.28181,274.65323,125.48601,3221.88037,1106.8656
40.0,77.10639,33.66436,274.03183,125.48601,3233.01709,1106.8656
40.0,77.10639,33.66436,274.03183,125.48601,3246.38135,1107.89246
40.33,77.52318,33.66436,274.65323,125.48601,3255.29077,1111.99951
40.33,77.52318,34.04691,274.65323,125.48601,3273.10962,1113.02625
40.0,78.35677,34.42946,274.65323,125.48601,3283.13281,1117.13342
40.0,79.19035,34.42946,275.2746,125.48601,3280.90552,1119.18701
40.0,78.77355,34.42946,275.2746,125.48601,3295.3833,1118.16016
