Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.33,1313.86694,1052.83154,2276.5105,878.02643,1434.98413,1809.50671,901.32574,1075.28406,609.34888,164.49629,111.84972,88.4106,3417.88843,854.2785,244.17816,161.04243,176.45564,282.17856
35.0,1313.86694,1052.83154,2274.6062,878.02643,1434.98413,1808.81006,900.81854,1074.80786,608.93207,164.49629,111.84972,88.4106,3414.54736,858.38562,244.17816,161.04243,176.45564,282.17856
35.0,1313.86694,1051.89319,2276.5105,878.02643,1435.71472,1808.81006,901.32574,1075.28406,608.93207,164.49629,111.84972,88.4106,3414.54736,835.79651,244.17816,161.04243,175.55536,280.99789
42.0,1307.29346,1026.55774,2266.98926,881.69635,1347.30688,1716.13989,854.66174,1010.99561,573.08801,159.9057,107.50002,85.55864,3234.13086,810.12708,239.93896,157.72198,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,855.16895,1010.04315,573.08801,159.9057,107.50002,86.50929,3234.13086,810.12708,239.93896,157.72198,164.75195,264.46863
41.67,1307.29346,1026.55774,2266.98926,881.69635,1347.30688,1715.44312,854.66174,1010.04315,573.08801,159.9057,107.50002,86.50929,3236.35815,810.12708,239.93896,157.72198,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1009.56696,573.08801,159.52315,107.50002,86.50929,3237.47192,810.12708,239.93896,157.72198,164.75195,265.64929
42.33,1307.29346,1026.55774,2266.03711,881.69635,1346.57617,1715.44312,854.66174,1009.56696,573.08801,159.52315,107.50002,86.50929,3236.35815,810.12708,240.7868,157.72198,164.75195,265.64929
42.0,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1009.56696,573.08801,159.9057,107.50002,86.50929,3233.01709,810.12708,239.93896,157.72198,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,855.67615,1009.56696,572.6712,159.52315,107.50002,86.50929,3233.01709,810.12708,239.93896,157.72198,164.75195,265.64929
42.0,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1009.56696,572.25446,159.9057,107.50002,85.55864,3236.35815,810.12708,239.93896,158.55209,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1009.56696,572.6712,159.9057,107.50002,86.50929,3235.24463,810.12708,239.93896,157.72198,164.75195,265.64929
41.67,1307.29346,1026.55774,2266.98926,881.69635,1346.57617,1715.44312,854.66174,1010.04315,572.6712,159.52315,107.50002,86.50929,3231.90356,810.12708,239.93896,157.72198,164.75195,265.64929
35.67,1202.94006,954.30457,2069.90112,784.44366,1304.92957,1652.03723,803.93994,977.18463,565.16901,153.40236,105.01447,83.65734,3157.28687,810.12708,230.61272,152.74129,164.75195,266.82996
35.67,1203.76172,954.30457,2072.75757,784.44366,1304.92957,1653.43066,803.93994,977.18463,565.58575,153.40236,105.01447,83.65734,3158.40063,810.12708,230.61272,152.74129,164.75195,266.82996
35.0,1204.58337,954.30457,2072.75757,785.36115,1304.92957,1654.12744,804.4472,977.66083,565.58575,153.40236,105.01447,83.65734,3155.05957,811.15387,230.61272,152.74129,164.75195,266.82996
35.67,1202.94006,954.30457,2072.75757,786.27863,1304.92957,1652.03723,804.4472,977.18463,565.58575,153.40236,105.01447,83.65734,3156.1731,809.10028,230.61272,152.74129,164.75195,266.82996
35.67,1203.76172,954.30457,2072.75757,784.44366,1304.92957,1652.03723,804.4472,977.66083,565.58575,153.40236,105.01447,83.65734,3159.51416,789.59155,230.61272,151.91116,164.75195,266.82996
35.67,1204.58337,954.30457,2071.80542,784.44366,1304.92957,1654.12744,804.4472,977.66083,565.58575,153.40236,105.01447,83.65734,3156.1731,809.10028,230.61272,152.74129,163.85167,266.82996
35.67,1204.58337,954.30457,2071.80542,784.44366,1304.92957,1654.12744,804.4472,977.66083,565.58575,153.40236,105.01447,83.65734,3156.1731,809.10028,230.61272,151.91116,164.75195,266.82996
36.0,1203.76172,954.30457,2072.75757,785.36115,1304.92957,1653.43066,804.4472,977.66083,565.58575,153.40236,105.01447,83.65734,3158.40063,810.12708,230.61272,152.74129,164.75195,266.82996
35.33,1202.94006,954.30457,2071.80542,784.44366,1304.92957,1654.12744,804.4472,977.66083,565.58575,153.78491,105.01447,83.65734,3160.62793,809.10028,230.61272,152.74129,164.75195,266.82996
35.67,1204.58337,954.30457,2072.75757,784.44366,1304.92957,1654.12744,804.4472,977.66083,565.58575,153.40236,105.01447,83.65734,3156.1731,810.12708,230.61272,151.91116,164.75195,266.82996
42.0,1194.72327,932.72247,2061.33203,797.28833,1238.44092,1581.66357,778.07184,935.75427,540.99512,152.25471,101.90752,82.70669,3044.80493,773.16309,230.61272,151.08105,156.6494,253.84265
42.0,1194.72327,932.72247,2060.37988,797.28833,1238.44092,1581.66357,778.07184,935.27808,540.57831,151.87216,102.52892,81.75603,3047.03247,773.16309,230.61272,151.08105,156.6494,253.84265
42.0,1194.72327,932.72247,2061.33203,797.28833,1239.17163,1582.36035,778.07184,935.75427,540.99512,152.25471,102.52892,81.75603,3044.80493,772.13635,229.76486,151.08105,156.6494,253.84265
42.0,1194.72327,932.72247,2061.33203,797.28833,1239.17163,1582.36035,778.07184,935.75427,540.99512,151.87216,101.90752,82.70669,3047.03247,773.16309,230.61272,151.08105,156.6494,253.84265
42.0,1194.72327,932.72247,2061.33203,797.28833,1238.44092,1582.36035,778.07184,935.75427,540.57831,151.87216,101.90752,82.70669,3043.69141,773.16309,230.61272,151.08105,156.6494,253.84265
42.0,1194.72327,932.72247,2061.33203,797.28833,1238.44092,1582.36035,778.07184,935.75427,540.99512,152.25471,102.52892,82.70669,3044.80493,773.16309,230.61272,151.08105,156.6494,253.84265
42.0,1194.72327,932.72247,2061.33203,797.28833,1238.44092,1582.36035,778.07184,936.23047,540.99512,151.87216,102.52892,81.75603,3047.03247,773.16309,230.61272,151.08105,156.6494,253.84265
42.0,1194.72327,932.72247,2061.33203,797.28833,1238.44092,1582.36035,778.07184,936.23047,540.99512,151.87216,102.52892,81.75603,3047.03247,773.16309,229.76486,151.08105,156.6494,253.84265
42.33,1194.72327,932.72247,2061.33203,797.28833,1238.44092,1581.66357,778.07184,935.27808,540.57831,152.25471,102.52892,82.70669,3047.03247,773.16309,229.76486,151.08105,156.6494,253.84265
42.0,1194.72327,932.72247,2060.37988,796.37085,1238.44092,1581.66357,778.07184,935.75427,540.99512,151.87216,102.52892,82.70669,3047.03247,773.16309,229.76486,151.08105,156.6494,253.84265
35.67,1108.44678,868.91449,1873.76514,722.05518,1212.13782,1536.37366,756.26154,925.75385,539.74475,147.66412,100.66475,79.85474,3048.146,778.297,222.98215,146.93048,158.44997,256.20398
36.0,1106.80347,868.91449,1871.86096,721.1377,1212.13782,1534.9801,756.76874,926.23004,538.91113,147.66412,100.66475,79.85474,3048.146,778.297,222.98215,146.93048,158.44997,257.38464
36.0,1106.80347,868.91449,1873.76514,721.1377,1212.13782,1534.28333,756.26154,925.27765,538.91113,147.66412,100.66475,79.85474,3050.37354,778.297,222.98215,146.93048,158.44997,257.38464
35.67,1108.44678,868.91449,1872.81299,722.05518,1212.13782,1536.37366,756.26154,925.75385,538.91113,147.66412,100.66475,79.85474,3047.03247,758.78821,222.98215,146.93048,158.44997,257.38464
35.67,1108.44678,868.91449,1872.81299,722.05518,1212.13782,1537.07043,756.76874,926.23004,539.74475,147.66412,100.66475,79.85474,3049.25977,778.297,222.98215,146.93048,159.35025,257.38464
35.33,1108.44678,869.85284,1872.81299,722.05518,1212.86841,1536.37366,756.76874,925.75385,539.74475,147.66412,100.66475,79.85474,3051.48706,780.35052,222.98215,146.93048,158.44997,257.38464
36.0,1106.80347,869.85284,1873.76514,722.05518,1212.86841,1537.07043,756.76874,925.75385,539.32794,147.66412,100.66475,79.85474,3051.48706,759.815,222.98215,146.93048,158.44997,257.38464
35.67,1108.44678,868.91449,1873.76514,722.05518,1212.13782,1537.07043,756.76874,925.75385,539.74475,147.66412,100.66475,79.85474,3049.25977,780.35052,222.98215,146.93048,158.44997,257.38464
35.67,1106.80347,868.91449,1871.86096,722.05518,1212.13782,1536.37366,756.26154,925.75385,539.74475,147.66412,100.66475,79.85474,3048.146,759.815,222.98215,146.93048,158.44997,257.38464
35.67,1107.62512,868.91449,1872.81299,722.05518,1211.4071,1536.37366,756.26154,926.23004,539.32794,147.66412,100.66475,79.85474,3047.03247,778.297,222.98215,146.93048,158.44997,257.38464
42.0,1108.44678,853.90088,1869.95667,734.89984,1149.30249,1463.90979,727.8573,886.70459,517.65479,144.60371,97.55782,78.90408,2900.02637,731.06525,218.74294,143.61002,148.54684,239.67468
42.0,1108.44678,853.90088,1870.90881,735.81732,1149.30249,1463.90979,727.8573,886.70459,517.65479,144.60371,97.55782,78.90408,2900.02637,731.06525,219.59077,143.61002,148.54684,239.67468
42.0,1108.44678,853.90088,1870.90881,735.81732,1150.03308,1464.60657,727.8573,886.70459,517.65479,144.60371,97.55782,78.90408,2902.25391,731.06525,219.59077,143.61002,148.54684,239.67468
42.0,1108.44678,853.90088,1870.90881,735.81732,1149.30249,1464.60657,727.8573,885.75214,517.65479,144.60371,97.55782,78.90408,2900.02637,731.06525,218.74294,143.61002,148.54684,239.67468
42.0,1109.26855,853.90088,1870.90881,735.81732,1150.03308,1464.60657,727.8573,886.70459,517.23798,144.60371,96.93643,78.90408,2903.36743,731.06525,219.59077,143.61002,148.54684,239.67468
42.0,1108.44678,853.90088,1870.90881,735.81732,1149.30249,1464.60657,727.8573,886.70459,517.65479,144.60371,97.55782,78.90408,2903.36743,732.09204,219.59077,143.61002,148.54684,239.67468
42.33,1108.44678,853.90088,1870.90881,734.89984,1150.03308,1464.60657,727.8573,886.70459,517.23798,144.60371,97.55782,78.90408,2903.36743,731.06525,219.59077,143.61002,148.54684,239.67468
42.0,1109.26855,853.90088,1870.90881,734.89984,1150.03308,1464.60657,727.8573,885.75214,517.23798,144.60371,97.55782,78.90408,2902.25391,731.06525,219.59077,143.61002,148.54684,239.67468
42.0,1109.26855,853.90088,1870.90881,735.81732,1150.03308,1464.60657,727.8573,886.70459,518.07159,144.60371,97.55782,78.90408,2902.25391,732.09204,219.59077,143.61002,148.54684,240.85535
42.0,1109.26855,853.90088,1870.90881,734.89984,1150.03308,1464.60657,727.8573,885.75214,517.65479,144.60371,97.55782,78.90408,2902.25391,732.09204,219.59077,143.61002,148.54684,239.67468
